"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL172022,2022-11-07T09:00:00.000Z,Tropical Storm,Nicole,25.5,-68.5,45,1004,14,330,,
AL172022,2022-11-07T12:00:00.000Z,Tropical Storm,Nicole,25.9,-69.1,45,1002,14,330,,
AL172022,2022-11-07T15:00:00.000Z,Tropical Storm,Nicole,26.3,-69.6,45,1002,9,320,,
AL172022,2022-11-07T18:00:00.000Z,Tropical Storm,Nicole,26.4,-70.1,45,1001,9,315,,
AL172022,2022-11-07T21:00:00.000Z,Tropical Storm,Nicole,26.6,-70.6,45,1000,9,310,,
AL172022,2022-11-08T00:00:00.000Z,Tropical Storm,Nicole,26.7,-70.8,45,998,8,310,,
AL172022,2022-11-08T03:00:00.000Z,Tropical Storm,Nicole,27,-71.1,45,998,8,310,,
AL172022,2022-11-08T06:00:00.000Z,Tropical Storm,Nicole,27.3,-71.2,45,998,7,315,,
AL172022,2022-11-08T09:00:00.000Z,Tropical Storm,Nicole,27.6,-71.6,45,995,8,310,,
AL172022,2022-11-08T12:00:00.000Z,Tropical Storm,Nicole,27.7,-72,50,992,8,300,,
AL172022,2022-11-08T15:00:00.000Z,Tropical Storm,Nicole,27.8,-72.7,50,994,9,280,,
AL172022,2022-11-08T18:00:00.000Z,Tropical Storm,Nicole,27.6,-73.3,60,992,9,270,,
AL172022,2022-11-08T21:00:00.000Z,Tropical Storm,Nicole,27.5,-73.7,65,990,10,260,,
AL172022,2022-11-09T00:00:00.000Z,Tropical Storm,Nicole,27.3,-74.3,65,984,10,250,,
AL172022,2022-11-09T03:00:00.000Z,Tropical Storm,Nicole,27.1,-74.8,70,984,10,250,,
AL172022,2022-11-09T06:00:00.000Z,Tropical Storm,Nicole,26.9,-75.4,70,985,11,250,,
AL172022,2022-11-09T09:00:00.000Z,Tropical Storm,Nicole,26.6,-75.7,70,985,13,250,,
AL172022,2022-11-09T12:00:00.000Z,Tropical Storm,Nicole,26.6,-76.2,70,986,13,250,,
AL172022,2022-11-09T15:00:00.000Z,Tropical Storm,Nicole,26.5,-76.7,70,986,12,265,,
AL172022,2022-11-09T16:55:00.000Z,Tropical Storm,Nicole,26.5,-77.1,70,985,12,265,,
AL172022,2022-11-09T18:00:00.000Z,Tropical Storm,Nicole,26.5,-77.3,70,985,12,265,,
