"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL112024,2024-09-27T15:00:00.000Z,Tropical Storm,Joyce,18.1,-42.9,40,1006,13,310,,
AL112024,2024-09-27T21:00:00.000Z,Tropical Storm,Joyce,18.6,-44,50,1001,13,305,,
AL112024,2024-09-28T03:00:00.000Z,Tropical Storm,Joyce,18.9,-44.7,50,1004,12,300,,
AL112024,2024-09-28T09:00:00.000Z,Tropical Storm,Joyce,19.5,-45.3,50,1004,10,305,,
AL112024,2024-09-28T15:00:00.000Z,Tropical Storm,Joyce,20,-46,50,1004,10,305,,
AL112024,2024-09-28T21:00:00.000Z,Tropical Storm,Joyce,20.3,-46.7,45,1003,9,300,,
AL112024,2024-09-29T03:00:00.000Z,Tropical Storm,Joyce,20.9,-47.5,45,1004,9,305,,
AL112024,2024-09-29T09:00:00.000Z,Tropical Storm,Joyce,21.3,-48.1,45,1004,9,305,,
AL112024,2024-09-29T15:00:00.000Z,Tropical Storm,Joyce,21.6,-48.5,45,1005,6,315,,
AL112024,2024-09-29T21:00:00.000Z,Tropical Storm,Joyce,22.2,-49.2,40,1006,6,325,,
AL112024,2024-09-30T03:00:00.000Z,Tropical Depression,Joyce,22.3,-49.6,35,1006,6,310,,
AL112024,2024-09-30T09:00:00.000Z,Tropical Depression,Joyce,22.1,-49.7,35,1006,2,260,,
AL112024,2024-09-30T15:00:00.000Z,Tropical Depression,Joyce,22.4,-49.3,35,1006,2,360,,
AL112024,2024-09-30T21:00:00.000Z,Tropical Depression,Joyce,22.7,-48.9,35,1006,2,360,,
